,questions,answers
0,Comment compléter mon inscription ?,"Pour compléter votre inscription et accéder aux tables de poker et paris sportifs en argent réel, il est nécessaire de valider votre compte en nous faisant parvenir les documents listés ci-dessous :

• La copie recto/verso de votre carte nationale d’identité (CNI) OU de votre passeport OU de votre permis de conduire OU de votre titre de séjour (recto/verso) au choix. Le document choisi doit être en cours de validité et la copie de très bonne qualité (scan PDF ou photographie JPG, par exemple)
•  Un justificatif de domicile à votre nom (facture de téléphone, d’internet, d’eau de gaz ou d’électricité , quittance de loyer ou avis d’imposition) 

Vous pouvez nous faire parvenir ces documents par l'un des moyens suivants :

•  Directement depuis votre Espace personnel
•  Par mail à l’adresse support@winamax.fr
•  Par courrier postal (sans affranchir) à l'adresse suivante :

WINAMAX
LIBRE REPONSE 80986
75342 PARIS CEDEX 07

Nous vous rappelons par ailleurs que votre compte sera automatiquement suspendu si vos documents n'ont pas été validés sous 30 jours après son activation en argent réel. 

Pour valider votre adresse postale, au lieu de fournir un justificatif de domicile, vous pouvez choisir l’envoi par courrier postal d’un code d’activation à votre domicile. À réception, vous devrez renseigner ce code personnel sur votre compte.

Si votre compte n’est toujours pas validé à l'issue d'un délai de 60 jours, à compter du passage en argent réel, celui-ci sera définitivement clôturé."
1,Mes documents ont été validés mais mon compte est bloqué,"Une fois votre compte validé (pièce d’identité et justificatif de domicile validés ou code de validation saisi), un seuil de retrait automatique doit être défini sur cette page.

Une fois cette procédure effectuée, votre compte sera immédiatement débloqué."
2,J’ai renseigné une date de naissance incorrecte et je ne peux pas me connecter,"Afin que vous puissiez vous connecter, nous vous invitons à nous transmettre les documents listés dans la rubrique « Compléter mon inscription ».

Une fois ces deux documents reçus par email ou par courrier, nous pourrons alors modifier vos informations, si nécessaire, afin que vous puissiez vous connecter."
3,Je n'ai pas reçu mon email d'activation,"Il se peut qu'un logiciel de type anti-spam ait considéré notre email d'activation de votre compte comme un courrier indésirable. Si tel est le cas, vous devriez retrouver ce mail dans un sous-dossier de votre boîte mail, du type ""Courrier indésirable"" ou ""Spam"".

Nous vous recommandons alors de configurer votre logiciel de messagerie ou votre filtre anti-spam de manière à accepter ""Winamax.fr"" comme un expéditeur de confiance.
Si vous n'avez toujours pas reçu le mail permettant d'activer votre compte Winamax, écrivez au support depuis l'adresse mail liée à votre compte Winamax."
4,J'ai oublié mon mot de passe,"Pour vous connecter à Winamax, vous devez indiquer votre adresse email complète et votre mot de passe. 

Si vous ne vous souvenez plus de votre mot de passe, vous devriez avoir un message d'erreur ""Mauvais Email ou mot de passe"" (Wrong e-mail address or password) lorsque vous tentez de vous connecter.

Cliquez alors sur le lien ""Mot de passe oublié ?"" puis saisissez votre adresse email et vous recevrez dans les minutes qui suivent un email vous permettant de choisir un nouveau mot de passe. Vous pouvez également vous rendre directement sur cette page."
5,J'ai oublié le mot de passe de mon compte Winamax et je n'ai plus accès à l'adresse mail associée,"Dans ce cas, veuillez contacter le support en joignant une photo de vous tenant dans votre main votre pièce d'identité (carte nationale d'identité, permis de conduire ou passeport) en cours de validité ainsi qu'un document justifiant la date du jour.

Nous vous renverrons un lien permettant de modifier votre mot de passe, et ainsi de vous connecter à votre compte pour modifier l'adresse mail associée."
6,Je voudrais modifier mon mot de passe,"Connectez-vous sur le site avec votre email et votre mot de passe actuel, puis allez dans « Paramètres du compte » en dessous de votre pseudo. 

Un bouton vous sera proposé afin de changer de mot de passe. Vous pouvez également vous rendre directement sur cette page."
7,Je souhaite modifier l’adresse email enregistrée sur mon compte,"Pour changer votre adresse email d'identification, connectez-vous sur le site avec votre mot de passe et l'adresse email sous laquelle vous êtes enregistré, puis allez dans « Paramètres du compte » en dessous de votre pseudo. 

Il suffit alors de cliquer sur le lien « Modifier » à droite de votre adresse. Vous pouvez également vous rendre directement sur cette page.

Une fois la modification effectuée, vous recevrez un email d'activation sur votre nouvelle adresse.
Veillez à toujours utiliser une adresse email fonctionnelle pour votre compte.  Cela vous permettra de recevoir vos confirmations de dépôts/retraits, d'être informé de nos offres ou encore d'obtenir des informations essentielles si vous remportez un package pour un tournoi Live."
8,Je souhaite changer mon pseudo,"Connectez-vous sur le site à l’aide de vos identifiants puis allez dans « Paramètres du compte » en dessous de votre pseudo. 
Un bouton vous sera proposé afin de changer votre nom de joueur.
Vous pouvez également vous rendre directement sur cette page."
9,Je souhaite modifier mon avatar,"Il vous suffit de cliquer le bouton ""Mon compte"" depuis le logiciel, puis sur votre avatar. Vous pouvez également procéder à cette opération via cette page."
10,Je voudrais modifier mes informations personnelles,"Vos informations personnelles (nom, prénom, adresse postale, etc.) sont erronées et vous souhaitez les corriger ?

Connectez-vous sur le site à l’aide de vos identifiants, puis allez dans « Paramètres du compte » en dessous de votre pseudo. Vous pourrez alors procéder aux changements désirés. Vous pouvez également vous rendre directement sur cette page."
11,Comment mettre à jour mes coordonnées bancaires ?,"Vous avez la possibilité d’ajouter de nouvelles coordonnées bancaires sur votre compte en vous rendant dans votre  Espace perso.

Une fois cette opération effectuée, vous pourrez nous faire parvenir une copie de votre nouveau document bancaire (RIB ou justificatif Skrill), en précisant bien qu'il s'agit d'un changement de coordonnées bancaires."
12,Je voudrais créer un autre compte,"Nous vous rappelons que, conformément  à la loi en vigueur, il est interdit de posséder plusieurs comptes sur Winamax."
13,Je voudrais fermer mon compte Winamax,"Vous pouvez procéder à cette opération en vous rendant dans votre Espace perso. Notez qu'en cas de clôture de votre compte, vous perdrez alors tous les avantages liés à celui-ci (miles, tickets et bonus).

Si votre compte a été validé et qu’il présente un solde positif, ce dernier sera viré vers votre compte bancaire dans un délai de 3 jours ouvrables.

Dans le cas contraire, il sera nécessaire de nous transmettre vos justificatifs (pièce d’identité, justificatif de domicile et RIB) pour que nous puissions procéder au virement du solde restant."
14,Je ne veux plus recevoir la Newsletter,Il vous suffit de décocher la case correspondante dans vos préférences emails.
15,Quels sont les méthodes de dépôt disponibles ?,Les moyens de paiement les plus couramment utilisés sont acceptés par Winamax. Vous pouvez consulter la liste complète en vous rendant sur cette page.
16,Je voudrais créditer mon compte,"Connectez-vous au site Winamax avec vos identifiants email et votre mot de passe, puis rendez-vous dans « Mon espace perso » sous votre pseudo.

Cliquez ensuite sur ""Effectuer un dépôt"" en dessous de votre solde. Vous pouvez aussi vous rendre directement ici pour effectuer votre dépôt.

Par ailleurs, en cliquant sur « Mon compte > Dépôt » depuis l'application vous êtes également redirigé vers le choix du mode de paiement."
